"Species","n","model","aic","intercept","road","forest","roadforest"
"EAPH",4368,4,9052.42436168212,4.64961115664795,-0.178781364533873,-0.641235969741766,NA
"EAPH",4368,5,8996.27390376582,4.72716502121714,-0.355965090613259,-0.765298493750104,0.396605243889003
"EASO",100,1,220.82443666113,4.45425825984863,NA,NA,NA
"EASO",100,2,222.48049525515,4.42565243557944,0.101652779469954,NA,NA
"EASO",100,3,205.204677881354,5.23268456124389,NA,-1.02246609407992,NA
"EASO",100,4,207.092360868522,5.27573576153747,-0.0625681634239758,-1.05396183667104,NA
"EASO",100,5,209.009780765979,5.22763505745216,0.102879839880121,-1.00097172403299,-0.210945817536484
"EATO",26168,1,86766.6803467597,4.06146131475589,NA,NA,NA
"EATO",26168,2,86743.480621648,4.05115875509455,0.0324744862777313,NA,NA
"EATO",26168,3,84367.0108782886,4.35657582638248,NA,-0.429419714589118,NA
"EATO",26168,4,84363.1063289748,4.36488242227532,-0.0161793008784026,-0.433682117301112,NA
"EATO",26168,5,84338.6697885928,4.38780136320168,-0.0900712267237921,-0.463203992054162,0.108808114993399
"EAWP",25945,1,64956.1634337802,4.39532988267606,NA,NA,NA
"EAWP",25945,2,64736.7904228211,4.42638773360837,-0.144235876162457,NA,NA
"EAWP",25945,3,57452.8521169096,4.93188778072838,NA,-0.87073477515478,NA
"EAWP",25945,4,57140.0074485269,4.98743389469187,-0.173558306807349,-0.893991149602264,NA
"EAWP",25945,5,56842.7305138918,5.06556947713463,-0.511660567317515,-0.992947122094116,0.505179748830371
"EUCD",2729,1,11204.5918948056,4.89491022763117,NA,NA,NA
"EUCD",2729,2,11176.8294392399,4.92114829549884,-0.189418843611445,NA,NA
"EUCD",2729,3,11195.8547736835,4.86940048082105,NA,0.104761415327198,NA
"EUCD",2729,4,11170.2853147442,4.89754492569851,-0.182265155963596,0.0937067498656227,NA
"EUCD",2729,5,11160.8231370458,4.90676876477671,-0.238578258889199,0.0559874010878107,0.383352611310826
"EUST",18567,1,100420.846431866,4.28918284245831,NA,NA,NA
"EUST",18567,2,92366.6745983141,4.49659728773356,-0.43296842743483,NA,NA
"EUST",18567,3,100010.894405814,4.27111693482076,NA,0.199651094942972,NA
"EUST",18567,4,92354.951076884,4.4909776624164,-0.429197767313847,0.040805287307931,NA
"EUST",18567,5,92243.990501607,4.48357376959956,-0.411075216037173,0.100310682633552,-0.299855468281978
"EVGR",5559,1,23066.8068281535,4.57150320586336,NA,NA,NA
