"Species","n","model","aic","intercept","tssr","tssr2","od","od2"
"CLNU",757,7,2889.74031190554,-1.21790922504568,-2.45725603757564,NA,7.32500453713356,46.3031738720341
"CLNU",757,8,2890.71371837451,-1.08223938216596,-2.99903953308281,-35.8174340169211,6.55078310805192,NA
"CLNU",757,9,2890.91281084662,-1.19106445642482,-2.54592243119607,-20.6923048823896,6.98531213460898,54.5784801612628
"CLSW",1793,1,38465.114032556,-0.793481598936107,NA,NA,NA,NA
"CLSW",1793,2,38245.5737359517,-0.783510082084231,NA,NA,-3.07202726579985,NA
"CLSW",1793,3,37925.4975396256,-0.640248811231027,NA,NA,-5.02517818271314,-74.0334212215042
"CLSW",1793,4,38399.6814254846,-0.796790507503431,-1.49060808298642,NA,NA,NA
"CLSW",1793,5,38265.5093740271,-0.904182492081398,-2.05025077544355,26.6673204746002,NA,NA
"CLSW",1793,6,38170.1088667404,-0.788801031568613,-1.6078717716295,NA,-3.13655333025507,NA
"CLSW",1793,7,37833.4992343852,-0.642233164094151,-1.76824328647111,NA,-5.20926032852243,-76.8891925128046
"CLSW",1793,8,38032.903386128,-0.895808190496677,-2.06990734656051,27.1817889662815,-3.16805201190055,NA
"CLSW",1793,9,37896.3275775397,-0.892573591281032,-2.28879439388453,36.7437307519441,-3.56046459513752,-20.2530609868641
"CMWA",1624,1,3638.93821091424,-1.41964287461777,NA,NA,NA,NA
"CMWA",1624,2,3640.87339588564,-1.42044848217221,NA,NA,-0.432676166672662,NA
"CMWA",1624,3,3642.28521528307,-1.38512682186775,NA,NA,-1.20421019701455,-66.5555499739771
"CMWA",1624,4,3638.13906185473,-1.4213833655727,1.2466282054519,NA,NA,NA
"CMWA",1624,5,3632.86359860872,-1.31801194848069,1.99245645165478,-37.0871284060479,NA,NA
"CMWA",1624,6,3640.11655081733,-1.4215168245213,1.24294838455769,NA,-0.248452022493411,NA
"CMWA",1624,7,3641.31769226479,-1.3820418741079,1.29828207482601,NA,-1.08905445820703,-75.1221043977313
"CMWA",1624,8,3634.83920456431,-1.31846270190659,1.9848166354979,-37.0939592383063,-0.266026081513063,NA
"CMWA",1624,9,3637.49624371093,-1.33116514798915,1.61216222999504,-29.6439546883667,-0.434390935246687,12.5148710159602
"COFL",78,1,238.996305596718,-0.881629817646675,NA,NA,NA,NA
"COFL",78,2,240.966433268704,-0.879007293616576,NA,NA,1.13147450021608,NA
"COFL",78,3,242.669709531547,-0.935730781213186,NA,NA,3.69806860516317,64.4139852225434
"COFL",78,4,237.499237558654,-0.874726298715216,-6.26930865423554,NA,NA,NA
"COFL",78,5,238.167571861187,-0.714257458174683,-7.29779791933216,-80.7271898714781,NA,NA
"COFL",78,6,237.781486535123,-0.945108094334622,-10.3728276345546,NA,-11.4813610897901,NA
"COFL",78,7,239.392825204738,-0.921227118852888,-11.3885693973491,NA,-16.7738222838855,-93.3030965963351
"COFL",78,8,237.319452536593,-0.775076991831732,-16.2796739597363,-141.322261803952,-17.4161240303025,NA
"COFL",78,9,241.830730375001,-0.903540468299834,-10.9203728692822,6.90375210343852,-15.9278674450191,-113.763257466106
"COGR",11137,1,66634.3672199269,-1.8514204285989,NA,NA,NA,NA
"COGR",11137,2,66481.1611829159,-1.86384116604867,NA,NA,3.33312281091136,NA
"COGR",11137,3,66354.327862056,-1.93876118460126,NA,NA,1.32281841160001,17.388335222469
"COGR",11137,4,66591.3309088704,-1.8712273486081,2.04535787725513,NA,NA,NA
"COGR",11137,5,66592.5554207903,-1.88015309050013,1.87165818861178,3.81382294883897,NA,NA
"COGR",11137,6,66393.3691802176,-1.90306991317596,2.82818857215147,NA,3.51071858198453,NA
"COGR",11137,7,66294.8237279979,-1.9606801574087,2.36247401670802,NA,1.54895155430306,15.70876236648
"COGR",11137,8,66394.019040197,-1.91528360147989,2.58181406563729,4.93961255300581,3.51952652421316,NA
"COGR",11137,9,66366.5948780839,-1.87021113203684,3.96748594507164,-28.1330641261628,2.47628136729439,9.11739713839976
"COHA",265,1,695.299019142461,-2.29721373935211,NA,NA,NA,NA
"COHA",265,2,697.089315176042,-2.30637429692215,NA,NA,-1.50591844177254,NA
"COHA",265,3,685.143364271402,-2.0389754654373,NA,NA,-39.6789200215583,-595.490403615539
"COHA",265,4,695.907123306734,-2.30490596459103,-4.76485637271711,NA,NA,NA
"COHA",265,5,695.551281016979,-1.77296077074421,-2.53789087951382,-245.419456907809,NA,NA
"COHA",265,6,697.774693158183,-2.31246455314564,-4.61150494620732,NA,-1.3025117601253,NA
"COHA",265,7,686.810614984119,-2.05933840152884,1.70014546710226,NA,-44.2441740844998,-673.960722152374
"COHA",265,8,697.50921148398,-1.78652474716001,-2.51364918235844,-234.528453077352,-0.762720746084353,NA
"COHA",265,9,685.857219320628,-1.74667262001017,4.45231080859942,-103.065906939246,-45.1045873708077,-720.987396764329
"CONI",1291,1,3302.21743245582,-1.07922891873455,NA,NA,NA,NA
"CONI",1291,2,3297.64863375407,-1.0185190864576,NA,NA,2.22005529512604,NA
"CONI",1291,3,3296.43435545091,-1.07420939671502,NA,NA,3.21638536878656,23.0892678251942
"CONI",1291,4,3268.73114334082,-0.99930197920089,-4.54407627768837,NA,NA,NA
"CONI",1291,5,3270.61249614768,-1.01317097651828,-4.76651023209647,4.32012431965815,NA,NA
"CONI",1291,6,3257.56401209719,-0.907066864292299,-4.88313163503591,NA,3.1862526626859,NA
"CONI",1291,7,3255.26538408234,-0.970206101246707,-5.1143154742813,NA,4.21735105812604,25.1463047362394
"CONI",1291,8,3259.37906868224,-0.924249739617522,-5.15713649817663,5.43944573454331,3.20240387361584,NA
"CONI",1291,9,3257.11981133337,-1.0207262619928,-5.79509183001905,12.3088722069491,4.12268363133379,23.4911879453177
