Species,r_model,r_n,r_int,r_roaddist,r_forest,r_roaddistforest
RBWO,2,5775,-1.472246335,-1.33E-06,NA,NA
RCKI,5,29016,-0.809574409,-1.40E-05,-0.293951036,-1.16E-05
RCSP,1,931,-0.981414359,NA,NA,NA
RECR,1,7341,-1.841914376,NA,NA,NA
REDH,1,119,-1.051450197,NA,NA,NA
REVI,3,36919,-1.037111425,NA,0.064952585,NA
RFWA,1,290,-0.743866515,NA,NA,NA
RHWO,2,1875,-1.28582049,-6.53E-05,NA,NA
RINP,1,7638,-0.995405158,NA,NA,NA
RNEP,1,1729,-1.534770758,NA,NA,NA
RNGR,1,68,-1.319699371,NA,NA,NA
RNSA,1,2291,-1.589595856,NA,NA,NA
RODO,3,355,-2.098515775,NA,2.98154937,NA
ROPI,3,1051,-1.61311665,NA,-0.488426246,NA
ROWR,1,12389,-0.808380344,NA,NA,NA
RSFL,1,1036,-1.435911189,NA,NA,NA
RSHA,1,353,-1.279341894,NA,NA,NA
RTHA,1,3176,-1.206065011,NA,NA,NA
RTHU,3,606,-2.679228308,NA,-6.619482652,NA
RUBL,1,181,-1.893166285,NA,NA,NA
RUDU,2,103,-0.580200984,-0.003671579,NA,NA
RUGR,1,3632,-1.458155977,NA,NA,NA
RUHU,1,244,-1.512363863,NA,NA,NA
RWBL,2,26030,-1.081260404,3.15E-07,NA,NA
SABS,1,5927,-0.63897207,NA,NA,NA
SACR,5,1784,-2.084957299,0.000270762,0.892408046,-0.000415291
SAPH,1,3013,-1.184635697,NA,NA,NA
SATH,1,8197,-0.462303837,NA,NA,NA
SAVS,2,10940,-0.875139046,-1.15E-06,NA,NA
SCOR,1,790,-1.400628461,NA,NA,NA
SCQU,1,1004,-1.077880408,NA,NA,NA
SCTA,3,3708,-1.741075427,NA,0.402034285,NA
SEOW,2,244,-1.201242126,-0.000924858,NA,NA
SEWR,1,2435,-1.099346323,NA,NA,NA
SNEG,1,141,-22.34628715,NA,NA,NA
SORA,1,616,-2.017883372,NA,NA,NA
SOSA,1,305,-1.906191125,NA,NA,NA
SOSP,3,12974,-1.351960143,NA,0.166619641,NA
SPGR,1,98,-1.514557182,NA,NA,NA
SPPI,1,2949,-0.384285978,NA,NA,NA
SPSA,1,721,-1.799416271,NA,NA,NA
SPTO,1,15630,-0.727493446,NA,NA,NA
SSHA,1,167,-2.642861526,NA,NA,NA
STFL,1,436,-1.719788249,NA,NA,NA
STGR,1,517,-1.631303052,NA,NA,NA
STJA,1,5159,-1.335976445,NA,NA,NA
SUTA,1,2272,-0.657555809,NA,NA,NA
SWHA,1,1234,-1.535728172,NA,NA,NA
SWSP,1,4126,-1.383767502,NA,NA,NA
SWTH,4,26170,-0.724880089,-8.36E-06,-0.421680374,NA
SWWA,1,159,-1.040386935,NA,NA,NA
TEWA,2,12430,-0.837988629,-8.98E-06,NA,NA
TOSO,1,6156,-1.260893712,NA,NA,NA
TOWA,5,6723,-0.565225376,1.33E-05,-0.26578101,-0.000150281
TRES,3,3706,-2.002417573,NA,0.453153874,NA
TUTI,3,4612,-0.663714978,NA,0.300719607,NA
TUVU,1,2488,-2.087549226,NA,NA,NA
UNFL,2,795,-2.388004943,0.000209403,NA,NA
UPSA,1,4385,-1.282203174,NA,NA,NA
VASW,2,91,-0.964816401,-0.001927925,NA,NA
VATH,4,4184,-0.648950145,-0.000112704,-0.562281622,NA
VEER,1,13528,-1.353052852,NA,NA,NA
VERD,1,402,-1.196900331,NA,NA,NA
VESP,4,26347,-0.869612245,-1.28E-06,0.114501877,NA
VGSW,1,5915,-1.546070547,NA,NA,NA
VIWA,1,2445,-0.862499557,NA,NA,NA
WAVI,4,19507,-0.748968002,-2.25E-06,-0.155313751,NA
WBNU,4,7312,-1.596460184,-7.62E-07,0.239498421,NA
WCSP,2,6107,-0.829707217,-5.32E-06,NA,NA
WEBL,1,2103,-1.561298207,NA,NA,NA
WEFL,1,171,-0.929408701,NA,NA,NA
WEGR,4,63,-6.330964532,0.000257769,5.919380075,NA
WEKI,1,5700,-1.376182551,NA,NA,NA
WEME,2,64667,-0.403758453,-2.65E-06,NA,NA
WETA,4,27584,-0.794571507,-1.78E-05,-0.121389296,NA
WEVI,3,4227,-0.375376328,NA,0.259935725,NA
WEWA,1,135,-1.575316883,NA,NA,NA
WEWP,2,12397,-0.727990571,-2.16E-05,NA,NA
WFIB,4,136,-2.373456801,0.001794105,-15.63308596,NA
WHIB,3,93,-1.608505548,NA,-103.8141653,NA
WIFL,4,599,-0.95809091,-2.61E-06,-0.663444623,NA
WILL,3,1103,-1.691215879,NA,0.785323599,NA
WIPH,2,474,-1.630238397,0.000199825,NA,NA
WISA,1,615,-1.696513049,NA,NA,NA
WISN,1,5798,-1.258014144,NA,NA,NA
WITU,1,1749,-1.500170576,NA,NA,NA
WIWA,4,2392,-1.115709997,-5.97E-06,-0.582628992,NA
WIWR,3,9840,-1.065422873,NA,-0.103176633,NA
WODU,2,251,-2.700179285,-2.335765418,NA,NA
WOSJ,2,3042,-1.543619948,8.31E-05,NA,NA
WOTH,3,3215,-1.152138457,NA,1.098232509,NA
WTPT,1,93,-1.131022755,NA,NA,NA
WTSP,4,27177,-1.206115476,-7.31E-07,-0.098914435,NA
WTSW,1,1227,-1.173938231,NA,NA,NA
WWCR,2,1273,-1.638934596,-4.67E-05,NA,NA
WWDO,1,430,-1.245853907,NA,NA,NA
WWJU,1,566,-1.230597786,NA,NA,NA
YBCH,2,5951,-0.437979035,-0.000235024,NA,NA
YBCU,1,3307,-1.941446503,NA,NA,NA
YBFL,1,4690,-1.335488096,NA,NA,NA
YBSA,1,9968,-1.949787521,NA,NA,NA
YEWA,4,11370,-1.006767076,-2.34E-06,-0.122382516,NA
YHBL,4,1654,-1.146980297,4.94E-07,-0.757148367,NA
YRWA,5,48440,-0.904858699,-5.47E-06,-0.269937539,-8.95E-06
YSFL,1,51,-1.784189827,NA,NA,NA
YTVI,3,1945,-1.619411808,NA,1.096212286,NA
YTWA,1,125,-0.909036646,NA,NA,NA
YWAR,1,1481,-1.653212565,NA,NA,NA
